MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,MASS,MASSUPPER,MASSLOWER,UMASS,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,R,RUPPER,RLOWER,UR,RHOSTAR,RHOSTARUPPER,RHOSTARLOWER,URHOSTAR,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY,FIRSTREF,FIRSTURL,PLANETDISCMETH
1.535,0.066,0.05399999999999999,0.06,1.28,0.18,0.18,0.18,1.732,0.043,0.045,0.044,1.533,0.046,0.047,0.0465,0.419,0.027,0.024999999999999998,0.026,0.422,0.073,0.06799999999999999,0.0705,Bieryla 2015,http://adsabs.harvard.edu/abs/2015AJ....150...12B,Transit
1.53,0.09,0.09,0.09,2.17173,0.122607,0.122607,0.122607,4.11574,0.132232,0.132232,0.132232,,,,,,,,,,,,,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,RV
1.53,0.09,0.09,0.09,1.56395,0.199226,0.199226,0.199226,3.85021,0.123925,0.123925,0.123925,,,,,,,,,,,,,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,RV
1.52,0.08,0.08,0.08,4.57442,1.509,1.509,1.509,1.53,0.04,0.04,0.04,1.61,0.04,0.04,0.04,0.426,0.0091,0.0091,0.0091,2.4027,0.838079,0.838079,0.838079,Snellen 2009,http://adsabs.harvard.edu/abs/2009A%26A...497..545S,Transit
1.52,0.07,0.07,0.07,0.887514,0.0836078,0.0836078,0.0836078,1.64,0.08,0.08,0.08,1.7,0.11,0.11,0.11,0.36,0.04,0.04,0.04,0.18,0.04,0.04,0.04,Smalley 2012,http://adsabs.harvard.edu/abs/2012A%26A...547A..61S,Transit
1.516,0.038,0.024,0.031,7,3,2,2.5,1.44,0.06,0.06,0.06,,,,,,,,,,,,,Marois 2010,http://adsabs.harvard.edu/abs/2010Natur.468.1080M,Imaging
1.516,0.038,0.024,0.031,9.5,1.5,1.5,1.5,1.44,0.06,0.06,0.06,1.37,0.04,0.04,0.04,,,,,,,,,Marois 2008,http://adsabs.harvard.edu/abs/2008Sci...322.1348M,Imaging
1.516,0.038,0.024,0.031,9.5,1.5,1.5,1.5,1.44,0.06,0.06,0.06,1.2,0.1,0.1,0.1,,,,,,,,,Marois 2008,http://adsabs.harvard.edu/abs/2008Sci...322.1348M,Imaging
1.516,0.038,0.024,0.031,7,4,2,3,1.44,0.06,0.06,0.06,1.2,0.1,0.1,0.1,,,,,,,,,Marois 2008,http://adsabs.harvard.edu/abs/2008Sci...322.1348M,Imaging
1.512,0.043,0.043,0.043,8.40643,0.293577,0.293577,0.293577,2.048,0.112,0.084,0.098,1.136,0.073,0.054000000000000006,0.0635,,,,,7.1,1.1,1.1,1.1,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,Transit
1.51,0.21,0.19999999999999998,0.205,0.0149156,0.00378996,0.00378996,0.00378996,1.85,0.6,0.39,0.495,0.18,0.00044,0.09656,0.0485,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.51,0.08,0.08,0.08,2.70016,0.374766,0.374766,0.374766,4.00571,0.12828,0.12828,0.12828,,,,,,,,,,,,,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,RV
1.51,0.11,0.11,0.11,1.15,0.08,0.08,0.08,3.85,0.4,0.4,0.4,,,,,,,,,,,,,Giguere 2015,http://adsabs.harvard.edu/abs/2015ApJ...799...89G,RV
1.51,0.23,0.21,0.22,0.0347934,0.0159058,0.0159058,0.0159058,1.83,0.63,0.41000000000000003,0.52,0.303,0.00059,0.17140999999999998,0.086,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.51,0.11,0.11,0.11,1.76545,0.108859,0.108859,0.108859,3.85,0.4,0.4,0.4,,,,,,,,,,,,,Robinson 2007,http://adsabs.harvard.edu/abs/2007ApJ...670.1391R,RV
1.512,0.045,0.514,0.2795,0.6202,0.082426,0.082426,0.082426,2.206,0.061,0.061,0.061,1.73,0.062,0.062,0.062,,,,,0.15,0.01,0.01,0.01,Hartman 2012,http://adsabs.harvard.edu/abs/2012AJ....144..139H,Transit
1.5,0.23,0.13999999999999999,0.185,0.0164814,0.00468584,0.00468584,0.00468584,1.84,0.69,0.33000000000000007,0.51,0.196,0.00039,0.10961,0.055,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.5,0.2,0.2,0.2,1.99403,0.569167,0.569167,0.569167,5.03,0.22,0.22,0.22,,,,,,,,,,,,,Wittenmyer 2016,http://adsabs.harvard.edu/abs/2016MNRAS.455.1398W,RV
1.5,0.07,0.07,0.07,6.47072,0.359109,0.359109,0.359109,1.93,0.49,0.49,0.49,,,,,,,,,,,,,Harakawa 2015,http://adsabs.harvard.edu/abs/2015ApJ...806....5H,RV
1.5,0.1,0.1,0.1,2.4,0.4,0.4,0.4,11.4,0.2,0.2,0.2,,,,,,,,,,,,,Lee 2014,http://adsabs.harvard.edu/abs/2014A%26A...566A..67L,RV
