MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,MASS,MASSUPPER,MASSLOWER,UMASS,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,R,RUPPER,RLOWER,UR,RHOSTAR,RHOSTARUPPER,RHOSTARLOWER,URHOSTAR,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY
1.714,0.17,0.316,0.243,0.025710234064933855,0.017024756640343176,0.017024756640343176,0.017024756640343176,2.599,0.523,0.85,0.6865,0.25604469031588384,0.05174422313003924,0.08386132714178773,0.0678027751359135,,,,,,,,
1.71,0.06,0.06,0.06,1.86459,0.125805,0.125805,0.125805,5.17,0.15,0.15,0.15,,,,,,,,,,,,
1.71,0.2,0.46,0.33,1.33352,0.19253,0.19253,0.19253,9.3,1.1,1.2999999999999998,1.2,,,,,,,,,,,,
1.703,0.195,0.732,0.4635,0.17140281446238825,0.4695067065808485,0.4695067065808485,0.4695067065808485,4.303,1.102,2.571,1.8365,0.6539399233503236,0.16683051250547137,0.3907580988096067,0.27879430565753904,,,,,,,,
1.699,0.266,0.733,0.4995,0.10023886536086148,0.17717295667397803,0.17717295667397803,0.17717295667397803,4.98,2.178,1.959,2.0685000000000002,0.5388536339748915,0.23552542941948898,0.21232974318878173,0.22392758630413534,,,,,,,,
1.704,0.174,0.349,0.26149999999999995,0.11762720397578394,0.05072519191839517,0.05072519191839517,0.05072519191839517,2.704,0.485,0.901,0.6930000000000001,0.5174422313003925,0.092782744922829,0.1721833631740961,0.13248305404846253,,,,,,,,
1.704,0.174,0.349,0.26149999999999995,0.3462215171093917,0.6537784828906084,0.6537784828906084,0.6537784828906084,2.704,0.485,0.901,0.6930000000000001,0.8118490180747536,0.14541910983097237,0.27031895876554984,0.20786903429826112,,,,,,,,
1.7,0.1,0.1,0.1,3.28703,,,,14.3,0.2,0.2,0.2,,,,,,,,,,,,
1.7,0.1,0.1,0.1,2.5485,,,,14.3,0.2,0.2,0.2,,,,,,,,,,,,
1.7,0.09,0.09,0.09,3.14944,0.255312,0.255312,0.255312,4.76324,0.152854,0.152854,0.152854,,,,,,,,,,,,
1.7,0.1,0.1,0.1,7.8,0.8,0.8,0.8,47.2,1.3,1.3,1.3,,,,,,,,,,,,
1.69,0.187,0.257,0.222,1,0,0,0,1.935,0.593,0.396,0.4945,6.437695070799365,1.9734176131663244,1.3176934062597925,1.6455555097130585,,,,,,,,
1.694,0.151,0.185,0.16799999999999998,1,0,0,0,3.354,0.355,0.829,0.592,2.072445350535882,0.21946687741361473,0.5120893806317677,0.3657781290226912,,,,,,,,
1.69,0.12,0.12,0.12,1.89038,0.218694,0.218694,0.218694,4.51552,0.144547,0.144547,0.144547,,,,,,,,,,,,
1.69,0.42,0.42,0.42,5.31949,1.18142,1.18142,1.18142,,,,,,,,,,,,,,,,
1.679,0.319,0.682,0.5005000000000001,0.1575746717011393,0.3565678122960841,0.3565678122960841,0.3565678122960841,4.721,1.993,1.839,1.916,0.635204946010137,0.2685346752093416,0.24712327253484262,0.2578289738720921,,,,,,,,
1.677,0.192,0.357,0.27449999999999997,0.01957620301997789,0.01025102891683339,0.01025102891683339,0.01025102891683339,2.829,0.457,1.067,0.762,0.2176825938574065,0.03479352934606087,0.08207704358557949,0.058435286465820184,,,,,,,,
1.68,0.11,0.11,0.11,0.951497,0.0483033,0.0483033,0.0483033,3.42909,0.109844,0.109844,0.109844,,,,,,,,,,,,
1.668,0.328,0.644,0.486,1,0,0,0,5.469,0.539,1.197,0.8680000000000001,1.2249106613369636,0.12043914004405687,0.2685346752093416,0.1944869076266992,,,,,,,,
1.665,0.316,0.23,0.273,0.018536257155083547,0.013245382280206778,0.013245382280206778,0.013245382280206778,2.015,1.066,0.372,0.7190000000000001,0.20965331785446936,0.11062558048491149,0.039254238236581494,0.07493990936074649,,,,,,,,
1.66,0.155,0.155,0.155,1,0,0,0,2.037,0.486,0.365,0.4255,2.616651835179398,0.6244992446728874,0.46837443350466557,0.5464368390887765,,,,,,,,
1.658,0.167,0.39,0.2785,0.12269555317346864,0.06141474823125248,0.06141474823125248,0.06141474823125248,3.466,0.466,1.399,0.9325,0.5281479326376419,0.07047920047022588,0.21322188496688588,0.14185054271855588,,,,,,,,
1.663,0.222,0.518,0.37,1,0,0,0,6.836,0.426,1.192,0.8089999999999999,5.133383791211135,0.32027889833938084,0.8948182034384372,0.607548550888909,,,,,,,,
1.66,0.08,0.08,0.08,1.47372,0.113215,0.113215,0.113215,5.5,0.4,0.4,0.4,,,,,,,,,,,,
1.648,0.143,0.334,0.2385,0.02763643533990413,0.01899618631991472,0.01899618631991472,0.01899618631991472,3.405,0.625,1.161,0.893,0.2658582498750292,0.04906779779572688,0.09010631958851661,0.06958705869212174,,,,,,,,
1.653,0.3,0.623,0.4615,0.23227996724681485,0.14782995805311763,0.14782995805311763,0.14782995805311763,5.127,0.468,1.085,0.7765,0.7226348402643411,0.06601849157970524,0.15255624405580537,0.10928736781775532,,,,,,,,
