Teff Fe/H Dnu0_median dnu02_median r_sep02_median r_avg01_median r_avg10_median
6.419512843683869985e-01 4.699925320259439737e-02 1.501789251877830578e-01 5.008742658600522785e-02 6.264053883618724006e-02 2.491832442841164508e-02 2.322424739063124605e-02
6.121284326755676020e-01 5.959209540999453603e-02 1.648396406895255017e-01 6.451256529760278358e-02 4.236709985437189102e-02 2.450780976284029633e-02 3.205235631009738240e-02
5.839655022290948239e-01 4.471574426840017186e-02 2.250501584441441660e-01 7.260490307051170600e-02 3.383292760966692680e-02 1.175713777432835921e-02 2.807362660385376296e-02
4.524025168198143598e-01 4.610685785352480054e-02 3.237972979070930513e-01 3.040870332640032564e-02 5.440045005301695491e-02 7.849114606204304900e-02 1.439302797810747443e-02
5.754249051622842837e-01 4.040470354046452051e-02 1.586573829006530933e-01 2.680385899454003004e-02 1.165703145673590707e-01 5.066903408391310037e-02 3.146980075078572442e-02
6.046681340107395997e-01 4.242971248657710637e-02 1.471176442218977698e-01 7.437221184535558471e-02 9.091049907591564061e-02 1.269128820591740141e-02 2.781051015359689918e-02
5.656113389422899873e-01 4.147013662062597195e-02 9.943379971940088935e-02 8.734895124136748956e-02 1.650432222695434603e-01 1.829568136499205855e-02 2.279686984178009093e-02
5.992507094642164356e-01 4.497363049795415069e-02 1.724557481288581662e-01 6.608785996109470262e-02 5.970304101998100826e-02 1.406818180862230878e-02 4.346082911927335451e-02
4.228962134135795248e-01 5.361728704098610993e-02 2.569786052498359563e-01 5.009646466908158902e-02 1.211649631761791274e-01 8.522486196839086647e-02 1.002160448194672031e-02
5.406713588366430789e-01 8.283419712358119913e-02 1.865501553999055762e-01 2.099275716850950227e-02 1.296376281508949124e-01 2.467907387526753135e-02 1.463482944519829861e-02
3.648588694969336355e-01 1.551317315478330794e-01 2.591722141385758293e-01 5.295497434839586265e-02 5.536278620642470782e-02 1.328191398422121951e-02 9.923751027761555654e-02
5.935802237877711995e-01 3.876223693646424495e-02 1.275471022129481824e-01 4.646088185034820406e-02 6.047139730926967549e-02 8.234045347525428826e-02 5.083770442794412897e-02
5.977945662688103345e-01 4.875729934046131586e-02 1.566582499051834554e-01 7.524476577076602557e-02 8.693618331149492728e-02 2.136422902541568192e-02 1.324470637786796801e-02
6.170900784121756688e-01 4.743221292993789889e-02 1.375788341563539130e-01 4.422940210125912708e-02 8.091361512460717997e-02 5.711966623956481887e-02 1.563619103610141073e-02
4.674348966008921580e-01 4.197265322803533927e-02 2.729132519493700504e-01 3.395663362095127646e-02 1.532308879806902890e-01 1.443043530805646069e-02 1.606124131200442617e-02
6.233219272662833266e-01 4.384730887799862670e-02 1.036615745417183709e-01 1.121896638507142718e-01 5.104695959961724760e-02 4.769937593594507363e-02 1.823318992772298558e-02
5.858073519847787347e-01 3.829343920946321617e-02 1.438000036164675255e-01 4.952086178853067761e-02 8.495996143203181361e-02 8.278476748929344819e-02 1.483361447943446973e-02
5.714388162476623512e-01 5.737134547439944054e-02 1.739508548222791495e-01 3.392064615692720608e-02 4.774914772257788514e-02 1.439219587517201991e-02 1.011769937009818626e-01
6.168321349146305144e-01 4.516551113445928939e-02 1.921068319658688905e-01 2.237421279721504494e-02 7.936418411481549473e-02 1.526072479520630340e-02 2.889640027780438630e-02
6.147393539996366396e-01 4.914234638777453812e-02 1.196571720871154043e-01 1.057666195144080917e-01 5.659647820349222869e-02 3.118132425903735044e-02 2.291670554853578873e-02
6.109636188322137285e-01 5.411426780790570129e-02 1.380351488362236700e-01 5.736575405996606480e-02 1.090906754924773486e-01 1.480577650217154359e-02 1.562475846904187553e-02
6.071486662376649468e-01 4.477456079957797125e-02 1.277569214664894259e-01 5.511169273430815974e-02 6.762676586410487634e-02 5.698220023054000744e-02 4.059919266731468884e-02
5.323570513284916483e-01 4.172190434149407323e-02 1.567543881310309861e-01 3.515424598501467462e-02 1.538771805170452978e-01 2.623392339244668206e-02 5.390130630447653726e-02
5.769084051262242108e-01 4.621646913628500719e-02 2.135743785419280394e-01 3.012584301798193823e-02 1.015858346425737996e-01 1.317517561519970445e-02 1.841389391980734550e-02
6.061278989138934037e-01 4.992912195601122843e-02 1.104451392847157903e-01 8.954161594717016670e-02 4.930204824833383376e-02 1.658351630607890134e-02 7.807065934379665839e-02
