#  l   n        freq     error
#             muHz        muHz
   29   3   1359.7730   0.0028
   29   4   1564.1421   0.0035
   29   5   1751.5539   0.0053
   29   6   1930.1804   0.0062
   29   7   2105.3079   0.0073
   29   8   2275.2996   0.0081
   29   9   2439.0148   0.0091
   29   10   2598.6110   0.0089
   29   11   2756.1083   0.0082
   29   12   2911.5638   0.0080
   29   13   3064.9150   0.0083
   29   14   3216.6557   0.0101
   29   15   3367.5272   0.0128
   29   16   3517.8012   0.0166
   29   17   3667.4631   0.0214
   29   18   3816.6291   0.0276
   29   19   3965.5646   0.0366
   29   20   4113.9647   0.0506
   29   21   4261.9960   0.0688
   29   22   4409.7035   0.0926
   30   2   1150.1886   0.0020
   30   3   1376.6104   0.0025
   30   4   1581.8968   0.0037
   30   5   1770.0417   0.0053
   30   6   1949.9419   0.0067
   30   7   2126.3363   0.0075
   30   8   2297.3192   0.0086
   30   9   2462.2234   0.0090
   30   10   2623.4357   0.0087
   30   11   2782.4203   0.0081
   30   12   2939.0182   0.0077
   30   13   3093.2585   0.0085
   30   14   3245.8832   0.0106
   30   15   3397.5507   0.0130
   30   16   3548.6130   0.0175
   30   17   3698.9749   0.0224
   30   18   3848.7880   0.0285
   30   19   3998.2233   0.0390
   30   20   4147.3090   0.0525
   30   21   4295.9119   0.0715
   30   22   4444.2612   0.0968
   31   1   907.5603   0.0012
   31   2   1164.9732   0.0020
   31   3   1393.1551   0.0025
   31   4   1599.3286   0.0038
   31   5   1788.2472   0.0052
   31   6   1969.4145   0.0069
   31   7   2147.0065   0.0077
   31   8   2318.8898   0.0084
   31   9   2484.9552   0.0088
   31   10   2647.7526   0.0086
   31   11   2808.2820   0.0077
   31   12   2966.0575   0.0075
   31   13   3121.2226   0.0087
   31   14   3274.7077   0.0112
   31   15   3427.2400   0.0137
   31   16   3579.0432   0.0181
   31   17   3730.1419   0.0234
   31   18   3880.5426   0.0306
   31   19   4030.6421   0.0416
   31   20   4180.3695   0.0583
   31   21   4329.4499   0.0768
   31   22   4478.1609   0.1038
   32   2   1179.5323   0.0028
   32   3   1409.4235   0.0026
   32   4   1616.4344   0.0037
   32   5   1806.1661   0.0056
   32   6   1988.6346   0.0068
   32   7   2167.3212   0.0079
   32   8   2339.9999   0.0085
   32   9   2507.2368   0.0089
   32   10   2671.5777   0.0086
   32   11   2833.6503   0.0075
   32   12   2992.6058   0.0076
   32   13   3148.7729   0.0087
   32   14   3303.1906   0.0115
   32   15   3456.5633   0.0144
   32   16   3609.1914   0.0191
   32   17   3760.9919   0.0245
   32   18   3912.1154   0.0322
   32   19   4062.7937   0.0432
   32   20   4213.0174   0.0606
