n l nu dnu
11 41 3041.5521 0.0073
12 41 3211.231 0.0092
13 41 3378.4047 0.0115
14 41 3543.1627 0.0157
15 41 3705.508 0.0211
16 41 3865.7089 0.0287
17 41 4024.6047 0.0395
18 41 4182.1012 0.0563
1 42 1031.3718 0.0023
2 42 1314.2329 0.0026
3 42 1558.1895 0.0034
4 42 1772.6287 0.0048
5 42 1973.3181 0.0061
6 42 2168.0991 0.007
7 42 2354.7817 0.0082
8 42 2534.9923 0.0083
9 42 2712.9723 0.0076
10 42 2889.3205 0.0072
11 42 3062.8547 0.0074
12 42 3233.5341 0.0095
13 42 3401.8804 0.0117
14 42 3567.8721 0.0166
15 42 3731.3468 0.0218
16 42 3892.6068 0.0306
17 42 4052.3373 0.0433
18 42 4210.8499 0.0599
1 43 1041.7065 0.0023
2 43 1326.7365 0.0024
3 43 1571.8093 0.0032
4 43 1787.0225 0.0048
5 43 1989.0319 0.0062
6 43 2184.8281 0.0071
7 43 2372.1887 0.0079
8 43 2553.2731 0.0083
9 43 2732.3209 0.0075
10 43 2909.5492 0.0071
11 43 3083.8869 0.0076
12 43 3255.5373 0.0096
13 43 3425.0043 0.0123
14 43 3592.2174 0.0174
15 43 3756.9237 0.023
16 43 3919.2746 0.0322
17 43 4079.7953 0.0456
18 43 4238.9363 0.0642
1 44 1051.931 0.0023
2 44 1339.0808 0.0021
3 44 1585.2086 0.0033
4 44 1801.243 0.0049
5 44 2004.5832 0.0059
6 44 2201.4255 0.007
7 44 2389.4069 0.008
8 44 2571.4059 0.0084
9 44 2751.4779 0.0074
10 44 2929.5632 0.0069
11 44 3104.6937 0.0077
12 44 3277.2377 0.0096
13 44 3447.8052 0.0126
14 44 3616.207 0.0176
15 44 3782.0929 0.0244
16 44 3945.4551 0.0348
17 44 4106.9028 0.0492
1 45 1062.0246 0.0016
2 45 1351.2658 0.0024
3 45 1598.4156 0.0035
4 45 1815.2851 0.0051
5 45 2019.9798 0.0062
6 45 2217.7606 0.0074
7 45 2406.4326 0.008
8 45 2589.3884 0.008
9 45 2770.4671 0.0073
