M	radius	Teff	L	age	XMF	ZMF	alpha	X	Z	nu_ac	X_surf	Z_surf	mu	Gamma	Dnu0	nu_max_classic	nu_max	Fe/H
1	2.378996	4845.293	0.447549	12.0455	0	0.01649999	1.700982	0.7144996	0.0165	962.7733	0.714541706	0.0165	1.28822	1.62084	37.0540001721267	596.159154575119	602.804724163497	0.00305230694192451
1	2.45715	4831.255	0.4705824	12.0712	0	0.01649999	1.700982	0.7136667	0.0165	904.047	0.713723256	0.0165	1.28925	1.62055	35.25666948528	559.649788643684	566.114560728765	0.00355004141987805
1	2.536509	4819.811	0.4940646	12.0955	0	0.01649999	1.700982	0.7127033	0.0165	849.6526	0.712782501	0.0165	1.29043	1.62055	33.5786198129569	525.801527834293	532.118649734175	0.0041228603693265
1	2.617025	4810.055	0.5176922	12.1185	0	0.01649999	1.700982	0.7116707	0.0165	799.2808	0.711730335	0.0165	1.29169	1.62074	32.0120229219839	494.446035734508	500.630678003713	0.00476441298913421
1	2.704353	4801.092	0.542968	12.1418	0	0.01649999	1.700982	0.7104243	0.0165	749.5455	0.710507387	0.0165	1.29322	1.6211	30.3823905910673	463.460675209309	469.535580031862	0.00551129192609376
1	2.792788	4793.249	0.5680732	12.1638	0	0.01649999	1.700982	0.7091953	0.0165	703.7333	0.709255828	0.0165	1.29472	1.62156	28.9465450836209	434.929362751608	440.885756084176	0.0062769763761882
1	2.881257	4786.191	0.5926295	12.1845	0	0.01649999	1.700982	0.7078791	0.0165	662.0047	0.708050547	0.0165	1.29633	1.62207	27.5956302279772	408.931583846637	414.789593128359	0.00701562685128507
1	2.976601	4779.143	0.6183241	12.2053	0	0.01649999	1.700982	0.7066995	0.0165	621.0109	0.706761202	0.0165	1.29777	1.62262	26.2588882664917	383.436457630293	389.145202059975	0.00780718880174274
1	3.072694	4772.325	0.6434687	12.2248	0	0.01649999	1.700982	0.7055713	0.0165	583.4335	0.705639328	0.0165	1.29915	1.62317	24.864112572818	360.08583085186	365.641172132824	0.00849711177997432
1	3.171648	4765.956	0.6686752	12.2436	0	0.01649999	1.700982	0.7043683	0.0165	548.2127	0.704374268	0.0165	1.30063	1.62376	23.8079441122803	338.19305523672	343.606190722471	0.00927640742116945
1	3.268892	4759.705	0.6925965	12.2605	0	0.01649999	1.700982	0.7033024	0.0165	516.6271	0.703302437	0.0165	1.30194	1.62428	22.7363941462821	318.579994430632	323.842166755344	0.0099377672023419
1	3.371637	4752.914	0.7170072	12.2771	0	0.01649999	1.700982	0.7024526	0.0165	486.1016	0.702486681	0.0165	1.30298	1.62476	21.6945116262996	299.673308694017	304.744831640931	0.0104417949609985
1	3.477608	4746.134	0.7414117	12.293	0	0.01649999	1.700982	0.7016033	0.0165	457.3804	0.701635073	0.0165	1.30403	1.62524	20.7203356820628	281.88918425666	286.775215879682	0.0109685992775623
1	3.586101	4739.363	0.7656261	12.3081	0	0.01649999	1.700982	0.7007524	0.0165	430.5498	0.700752403	0.0165	1.30507	1.62572	19.7692388867586	265.2800815348	269.985821073557	0.011515293778935
1	3.700058	4732.166	0.7901529	12.3226	0	0.01649999	1.700982	0.7000893	0.0165	404.8182	0.700090223	0.0165	1.30589	1.62618	18.8822719586724	249.380570436044	253.883994848439	0.0119258768610154
1	3.816948	4724.654	0.8144075	12.3364	0	0.01649999	1.700982	0.6995199	0.0165	380.7556	0.699580786	0.0165	1.30658	1.6266	18.0207670750783	234.526634666484	238.824889742826	0.0122420164199896
1	3.93773	4716.936	0.8386337	12.3496	0	0.01649999	1.700982	0.6990755	0.0165	358.0712	0.699075512	0.0165	1.30712	1.62702	17.2092219555792	220.540219556552	224.628544795173	0.0125558000420403
1	4.062335	4708.906	0.8627263	12.362	0	0.01649999	1.700982	0.6987118	0.0165	336.736	0.698723164	0.0165	1.30755	1.6274	16.5561817562173	207.394952974046	211.274336826003	0.0127747483040153
1	4.189793	4700.781	0.886538	12.3737	0	0.01649999	1.700982	0.6984299	0.0165	316.828	0.69842989	0.0165	1.30788	1.62776	15.6122201676073	195.136953362439	198.81213110649	0.0129570723255558
1	4.321801	4692.346	0.9103859	12.385	0	0.01649999	1.700982	0.6981543	0.0165	298.0249	0.698154297	0.0165	1.30821	1.6281	14.8984326508077	183.56298772135	187.043775944971	0.0131284741240566
1	4.457693	4683.71	0.9340673	12.3956	0	0.01649999	1.700982	0.6979753	0.0165	280.3665	0.697975345	0.0165	1.30841	1.62841	14.2411395485393	172.700801747068	175.989068364043	0.0132398074332466
