model	mass	radius	log_g	logTeff	logL	age	Y	Z	feh	al	Y_c	Z_c
0085	1.6000E+00	3.1139E+00	3.6552E+00	3.7950E+00	1.1202E+00	2.0032E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0086	1.6000E+00	3.1180E+00	3.6541E+00	3.7947E+00	1.1200E+00	2.0036E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0087	1.6000E+00	3.1222E+00	3.6529E+00	3.7943E+00	1.1197E+00	2.0040E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0088	1.6000E+00	3.1264E+00	3.6517E+00	3.7940E+00	1.1194E+00	2.0044E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0089	1.6000E+00	3.1306E+00	3.6506E+00	3.7936E+00	1.1191E+00	2.0048E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0090	1.6000E+00	3.1348E+00	3.6494E+00	3.7932E+00	1.1187E+00	2.0052E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0091	1.6000E+00	3.1391E+00	3.6482E+00	3.7928E+00	1.1184E+00	2.0056E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0092	1.6000E+00	3.1434E+00	3.6470E+00	3.7924E+00	1.1180E+00	2.0060E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0093	1.6000E+00	3.1476E+00	3.6459E+00	3.7921E+00	1.1177E+00	2.0064E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0094	1.6000E+00	3.1519E+00	3.6447E+00	3.7917E+00	1.1173E+00	2.0068E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0095	1.6000E+00	3.1562E+00	3.6435E+00	3.7913E+00	1.1169E+00	2.0072E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0096	1.6000E+00	3.1605E+00	3.6423E+00	3.7909E+00	1.1164E+00	2.0076E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0097	1.6000E+00	3.1649E+00	3.6411E+00	3.7904E+00	1.1160E+00	2.0080E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0098	1.6000E+00	3.1692E+00	3.6399E+00	3.7900E+00	1.1155E+00	2.0084E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0099	1.6000E+00	3.1736E+00	3.6387E+00	3.7896E+00	1.1151E+00	2.0088E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0100	1.6000E+00	3.1779E+00	3.6375E+00	3.7892E+00	1.1146E+00	2.0092E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
