M Y Z alpha diffusion overshoot age X_c Y_surf
1.048831247070314499e+00 2.785680312500017908e-01 2.107026464843755886e-02 1.970319859375014415e+00 2.270960810546857334e-01 2.163438056640626383e-01 7.352058170429722317e+00 8.241319210730110867e-02 2.730555286200188614e-01
1.058700889648438226e+00 2.754762041015644813e-01 2.200370703125007973e-02 1.914872277343760754e+00 3.399087070312505898e-01 2.092909316406254827e-01 7.395261661418846444e+00 8.468213015334645488e-02 2.678948201835922860e-01
1.083163197265626820e+00 2.635118750000013943e-01 2.168334277343756181e-02 1.921479791992200203e+00 2.505427929687494282e-01 1.821508886718756215e-01 6.506263387951650046e+00 1.052527707296138093e-01 2.571691848404659142e-01
1.075395745117187607e+00 2.668284814453146803e-01 2.250981542968753801e-02 1.796997038085949461e+00 3.614168330078127434e-01 1.820817148437497146e-01 7.269065528213911165e+00 8.385823022178708064e-02 2.586276867331416263e-01
1.064595091796875170e+00 2.755165605468768431e-01 2.275654785156259671e-02 1.911113994140639649e+00 1.414836943359369104e-01 2.027466796875002641e-01 6.966129538291607304e+00 9.227457632820904032e-02 2.714994061958189708e-01
1.064678130859373795e+00 2.721745566406272854e-01 2.198693652343757313e-02 1.798329347656266508e+00 1.337880019531242914e-01 2.033195166015623334e-01 7.350339094094276327e+00 7.348036072282412845e-02 2.681719556567464524e-01
1.037156678710937863e+00 2.738006923828139594e-01 2.024375683593748060e-02 1.940811402343763481e+00 2.355877080078106478e-01 2.061761660156254672e-01 7.554905512055215766e+00 9.497854479694797791e-02 2.680501514191213075e-01
1.094779298828127967e+00 2.616504023437532522e-01 2.255164648437518043e-02 1.887729160156266905e+00 3.032744394531243781e-01 2.044855488281247247e-01 6.824773944321396613e+00 9.584177864577421435e-02 2.552707939843160134e-01
1.082769763671879382e+00 2.673639208984406324e-01 2.233353320312520679e-02 1.924289096679701272e+00 2.815593652343736375e-01 2.223636376953122828e-01 6.594862414537892903e+00 1.322912815542697518e-01 2.615157294409852229e-01
1.012366503906244386e+00 2.747084228515635496e-01 1.896437890624992628e-02 1.748906734375010874e+00 3.202481933593753216e-01 2.123197089843752716e-01 8.249972861389304413e+00 8.452004933092284455e-02 2.663250208376651273e-01
1.021339762695307130e+00 2.768370888671888852e-01 1.972859472656246851e-02 1.758846514648446879e+00 2.753828349609362958e-01 2.178244726562504618e-01 8.081059766616617068e+00 9.079897881843647378e-02 2.697835159399799565e-01
1.071900477539065033e+00 2.683346777343774692e-01 2.195039550781261242e-02 1.930293782226575328e+00 3.101265712890619586e-01 2.175994384765628509e-01 7.010049170582111522e+00 1.118897144510137276e-01 2.616616653146708327e-01
1.097012600585942410e+00 2.661758154296917644e-01 2.237222558593776611e-02 1.847833173828140163e+00 1.665629599609360634e-01 2.063708935546872680e-01 6.850312454635560933e+00 6.657051094351988663e-02 2.626569749381543750e-01
1.051532644531251393e+00 2.765726103515639411e-01 2.157900488281252332e-02 1.928327065429696896e+00 4.808754199218772118e-01 2.214525175781254240e-01 7.528004480642901619e+00 9.353261908023843829e-02 2.657839241996745594e-01
1.095139023437502024e+00 2.593255664062528720e-01 2.289991015625010562e-02 1.866781811523452017e+00 4.985469033203127620e-01 1.864324951171872635e-01 7.014543872906944699e+00 9.039703623661689280e-02 2.485017377199968680e-01
1.057669992187500130e+00 2.780665478515644828e-01 2.303691796875010148e-02 1.915653213867197335e+00 2.115016708984352733e-01 2.123532343750005047e-01 7.229274521567329970e+00 9.535724063785991356e-02 2.727050931080153284e-01
1.065068678710934913e+00 2.669809042968760981e-01 2.165477441406247691e-02 1.834526047851577468e+00 2.881342939453113705e-01 1.696801103515628018e-01 7.130815317931276098e+00 8.093939942684431899e-02 2.596427661508348139e-01
1.059528395507815413e+00 2.883210039062522601e-01 2.295345703125016568e-02 1.955209020507819195e+00 1.654612978515610788e-01 2.326477343750009419e-01 7.019617280051706487e+00 9.452062427108876008e-02 2.847580433254173204e-01
1.071415509765625496e+00 2.737194257812525788e-01 2.278932031250011092e-02 1.889868414062518376e+00 6.503379589843787112e-02 1.937833759765621167e-01 7.138201880302496249e+00 6.750938236273154591e-02 2.718619552112477855e-01
